label,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,coord_21,coord_22,coord_23,coord_24,coord_25,coord_26,coord_27,coord_28,coord_29,coord_30,coord_31,coord_32,coord_33,coord_34,coord_35,coord_36,coord_37,coord_38,coord_39,coord_40,coord_41,coord_42,coord_43,coord_44,coord_45,coord_46,coord_47,coord_48,coord_49,coord_50,coord_51,coord_52,coord_53,coord_54,coord_55,coord_56,coord_57,coord_58,coord_59,coord_60,coord_61,coord_62
hello,0.0,0.0,0.0,-0.27313643827614315,-0.17781831988717917,0.10207042055520353,-0.4346353593725708,-0.5466499523935383,0.1060922601845929,-0.4396322796971155,-0.8708229403551897,0.07392663039999045,-0.3680269082992636,-1.1030164837881864,0.044733287070974806,-0.6885267339484834,-0.7210435364048754,0.0776347554062323,-0.5683894836883102,-1.249659282167239,0.024255622056945675,-0.3743258493227197,-1.465090917219309,-0.016098793602790856,-0.20226525572214077,-1.5605070753269985,-0.03583172863169132,-0.5944498605051938,-0.8056895212491331,-0.02068376376942357,-0.4927986424577427,-1.391422053732535,-0.05161790128681933,-0.285776907712185,-1.5853490535580013,-0.06646611511568591,-0.08688803343447865,-1.641116352385994,-0.0697217699070489,-0.4404316804805698,-0.8692405526778415,-0.11750608205100557,-0.3002583944908104,-1.411764408130809,-0.12551052878659524,-0.11189259789585651,-1.5919141657635176,-0.12691659191891097,0.04385746928670627,-1.6541997750308477,-0.1287879694119482,-0.22898484983326026,-0.9244233839518935,-0.21200331187879679,-0.07736842110809336,-1.3330012500287198,-0.19706151531219596,0.06173840567887796,-1.4893464316125056,-0.1783466867875613,0.1744543597645742,-1.57066527668101,-0.1623729639564282
hello,0.0,0.0,0.0,-0.295635022889853,-0.18061933659030882,0.10078300756592475,-0.49440394739902815,-0.49134418956731135,0.10143329797705068,-0.5444496450075469,-0.7864301295291963,0.06471165987162081,-0.5294263018976718,-1.0159192035857527,0.035209978881509056,-0.7822423545456241,-0.6120655440186822,0.11607182509133106,-0.7460851985096888,-1.1031935378367606,0.0745801562564053,-0.6040984140547959,-1.3240275452462023,0.029235387584887723,-0.46656263873839876,-1.425268667648491,0.002933128244441358,-0.7034684029537862,-0.735182691113749,0.020822080039317233,-0.7157020067723043,-1.237162309436996,0.01229214025094032,-0.5775307606867185,-1.4416742162178966,-0.001209355334774354,-0.4260485503753493,-1.520695571731974,-0.010139895746756054,-0.5623857509313547,-0.8477433344701212,-0.0752473565812162,-0.550062593225079,-1.314276348058782,-0.05379510863081341,-0.4254537859187776,-1.5057834925432523,-0.03336161389140271,-0.3102874862625502,-1.5886226478884486,-0.027694169744501018,-0.3622992987704736,-0.956394814938167,-0.1718203412427785,-0.3309658407796617,-1.3154882654438649,-0.12308688511898007,-0.2528997267349985,-1.4666086418653046,-0.07432964124374605,-0.18625309025651193,-1.5471908583220653,-0.04174571501102386
hello,0.0,0.0,0.0,-0.31675198710579977,-0.14587137469493222,0.10313041844026997,-0.5326460287250022,-0.44308608878702377,0.11688183541778423,-0.5824517030614466,-0.7297247217147718,0.0954502814108019,-0.5512952236807619,-0.9371729144296923,0.0758291610448085,-0.7899727546065339,-0.6017539619217507,0.11762319622779005,-0.7169695395628156,-1.0943178603094679,0.09671171238229129,-0.6036687275194286,-1.3560436601929038,0.06620676281683448,-0.49447200006800185,-1.515182450156758,0.04435866885249622,-0.71209377333671,-0.7420716278610978,0.026724449254568176,-0.6624822411269907,-1.2391636581175696,0.04169898141395543,-0.5548821882830013,-1.4620714727932316,0.037255113392323125,-0.4490964980146305,-1.5984354365431275,0.02579153552740777,-0.5720462181823718,-0.8586137693245911,-0.06334824615431758,-0.515985790980566,-1.3186417574312084,-0.03969736122925087,-0.405590891181822,-1.5040712564257315,-0.025387365671774513,-0.3173313036578583,-1.6222125159330396,-0.025997915865823822,-0.3822836179681382,-0.9609946420661397,-0.15290797090329686,-0.3478005110247128,-1.3116095475366274,-0.10910213376717792,-0.27788002416714,-1.4594507762130222,-0.0656250637722902,-0.2192753133045683,-1.563153548034824,-0.03715855100480218
hello,0.0,0.0,0.0,-0.3076610692592642,-0.12659382875105601,0.07065871490878493,-0.5180156750741505,-0.40450913925448084,0.0709032790109608,-0.5775241024139637,-0.678757759186998,0.041968888514154847,-0.578315665179614,-0.8764446186171878,0.015567833779144079,-0.790229631361936,-0.6033285001473042,0.10738645458149307,-0.7135289360554761,-1.0802459804963584,0.06780604546901872,-0.6274378018657505,-1.3654519405488803,0.010397061126100289,-0.5394399702982576,-1.553794748867579,-0.031745708239914586,-0.7176357391802645,-0.7506067048859848,0.025599558970830005,-0.6747734380605896,-1.2411937246811129,0.02687578683163265,-0.5894130826597064,-1.5072908934080074,0.0043404630558719175,-0.5090086779693955,-1.7015626530885888,-0.021657938893390367,-0.5845595049627053,-0.8746064745967227,-0.060508486832273854,-0.5305467717666243,-1.3447787616096152,-0.05314518857687324,-0.4523374455771324,-1.56666084296607,-0.04895075855130823,-0.40524448826714327,-1.7318566101916555,-0.05763403384912736,-0.39517080092276485,-0.9783971715971319,-0.1493668058534047,-0.34955768208574084,-1.335375526099653,-0.12582679692150553,-0.2890520319083705,-1.503212197159713,-0.0877094235684825,-0.2535642439448925,-1.6371732267088535,-0.06243405780622342
hello,0.0,0.0,0.0,-0.30442176784230923,-0.19586014267231178,0.08955750130696753,-0.4953432614019246,-0.5261564652255372,0.10114509154711411,-0.5167708840766005,-0.8262565152313729,0.08011094821164579,-0.481309674319312,-1.0390283436364094,0.0609268132599341,-0.7486607272525869,-0.6503159410029701,0.1288265979798006,-0.6589150490212553,-1.1499402484757506,0.10110456973007054,-0.5688508514569406,-1.4439875171826444,0.05171033126011206,-0.4789306045237445,-1.6434052968811745,0.01323300233067724,-0.6683138827679775,-0.7942519485654543,0.04245630856370737,-0.5999734348909257,-1.2958417533856676,0.05894470375261541,-0.5172584882778818,-1.5746704699734706,0.03933560026113893,-0.44354114158895,-1.7834713173972194,0.010919222643407953,-0.5291949660074673,-0.9146326060294897,-0.04635988843974826,-0.4586061463681811,-1.401525965384749,-0.02681770128455792,-0.387018812033675,-1.6418602267738343,-0.024012349114100374,-0.3446402032184716,-1.823340843862718,-0.03787309904385868,-0.3376044447527481,-1.016525889582714,-0.1365395214146771,-0.27503893060727247,-1.381103026718055,-0.10651793895609274,-0.215350601139648,-1.5616006666401572,-0.06978997078536828,-0.18246359425566555,-1.709644979516155,-0.04825649869820709
hello,0.0,0.0,0.0,-0.29907477678698247,-0.19025126256921135,0.07948844228031998,-0.48426599460702346,-0.5056039031114768,0.08627588229834252,-0.5064543270011471,-0.7966487071688297,0.06486552274215089,-0.46755500693557667,-1.0018644462527648,0.04692651588150306,-0.7409511416908734,-0.660457910181511,0.12160079977394331,-0.6485578531905432,-1.1351585575084955,0.09275488259122897,-0.5734384326076137,-1.4381074875706423,0.04241071586010367,-0.49775161065225687,-1.6458783412810907,0.0035351010231393564,-0.6512538009067067,-0.805937361508689,0.03924642535897357,-0.5811311293023183,-1.2908903412833648,0.051103566969743455,-0.5070506635830052,-1.576930484390848,0.03207079718337802,-0.4455203928415529,-1.7904718778757813,0.00563240987092177,-0.5078906888817863,-0.9224901935456001,-0.046747335774762665,-0.4394883059005745,-1.3986387316257314,-0.030749096627607077,-0.3722876383360259,-1.648733658705446,-0.027739310325514632,-0.33405066329882704,-1.8397259339036682,-0.03981859289379215,-0.3134487941842637,-1.0135131286118046,-0.13470118184127527,-0.25785702306578784,-1.383903702279539,-0.1081755067647745,-0.19768715928021957,-1.5697568130153043,-0.07237244484329776,-0.16091864612162193,-1.7212945738170071,-0.050581007307338756
hello,0.0,0.0,0.0,-0.3092728621204245,-0.16348811570471034,0.0792222283534207,-0.5007746707499483,-0.4754690015005824,0.08694741546450428,-0.5331235670389505,-0.7770913441898499,0.06773988868611665,-0.49739248428481253,-0.9939347592214961,0.052329513737513184,-0.763913781644853,-0.6350827282175913,0.11447996563923793,-0.6656647903128359,-1.1301468034342401,0.0863316434402228,-0.584076990839872,-1.4365658462151851,0.038460573255680953,-0.5078306350082832,-1.6417119454748745,0.002610952894226052,-0.6665814151584645,-0.7866265170877261,0.03506273891835501,-0.5988089489667611,-1.2989220021505228,0.047295383928532636,-0.5230306859223444,-1.5899242338491972,0.02922355931425965,-0.4560033470245068,-1.8033863722170433,0.004190809586347404,-0.518488502754304,-0.9093018546782405,-0.047002411281153136,-0.44886231634129214,-1.4037625041590451,-0.030631122642216443,-0.38537001053297304,-1.6610706982940158,-0.031503739402146284,-0.34531873613668396,-1.8543543528393347,-0.045735281917068764,-0.322853921557765,-1.002803047740369,-0.13034814239964912,-0.2582389209013013,-1.3894085684871025,-0.10471916671628624,-0.1966171666389994,-1.5839691292069522,-0.0734085243389672,-0.15658181376608352,-1.7426985290257466,-0.05425399348837893
hello,0.0,0.0,0.0,-0.319422525203414,-0.15915823174317775,0.09553103793943873,-0.5217626621314146,-0.46600459408307315,0.10714465042306888,-0.5720172655439933,-0.7693671577526613,0.08987736519731707,-0.5397121647228069,-1.0030830943677094,0.07565023545585697,-0.777245174466305,-0.6197253336088235,0.10876787049618672,-0.6962769979521083,-1.1260365728927824,0.08127643864793035,-0.6095532966658879,-1.4313312184552085,0.03948561308920745,-0.5250931318018663,-1.6312754191421437,0.010558747959894768,-0.6757836899061401,-0.765111709278927,0.02479704964698138,-0.6179017649695926,-1.3042408143183073,0.03970831976476722,-0.5373448923600528,-1.596842821575188,0.026024630710248603,-0.4613032630578303,-1.8031517681938103,0.004789478193520139,-0.5246240451583916,-0.884641446783488,-0.05854805338342846,-0.455594146469739,-1.4018981927425913,-0.0362235095373269,-0.386621575537709,-1.658904440449933,-0.035881864117698024,-0.33852813755336064,-1.8393069283526144,-0.049522358300039246,-0.3268123460213754,-0.9781907909653529,-0.14088494075063326,-0.2614295846111847,-1.3836556816173506,-0.10681653510381825,-0.201607160611184,-1.581011488594559,-0.07364956293167299,-0.15966735681984928,-1.7329216264736478,-0.05358279003026297
hello,0.0,0.0,0.0,-0.31973790253896733,-0.1548374204813914,0.10339256650386157,-0.5192673682060839,-0.4603941149989302,0.11780988200284566,-0.5651627825606929,-0.7648677772644736,0.10179038337522436,-0.5254805532306891,-1.0013764155758493,0.0883914360001991,-0.7727738222251552,-0.6241179191586615,0.11531453797586312,-0.6922643532770106,-1.1338198596553926,0.09597025135012445,-0.6031046505400589,-1.427360732063857,0.06111578446333864,-0.5135961517019008,-1.6181465444935295,0.03607508155024563,-0.6725349800348337,-0.7722418063820697,0.028482717340742855,-0.615282656050278,-1.3115798794235347,0.04657949629940223,-0.527488732080567,-1.59288506603267,0.03647319217804238,-0.44346415845489345,-1.7865302374217147,0.01817289934637235,-0.5191976994647275,-0.8909862948965868,-0.05675847389521941,-0.44964115192554727,-1.4149205639847027,-0.031731590218059005,-0.3743491478739202,-1.668410958001708,-0.0302706389737868,-0.31743521491881005,-1.8417397743829265,-0.043419790405587216,-0.32044725699641463,-0.9831580397111429,-0.13981403280117016,-0.25537212862526554,-1.3893326829466441,-0.10226587520695728,-0.1954022713333847,-1.590051267358276,-0.06895364918757668,-0.15487677879631354,-1.7442711694503719,-0.0495410722097434
hello,0.0,0.0,0.0,-0.31895362973502706,-0.15780331648547413,0.09398856997538504,-0.5241371435088705,-0.45971963538999316,0.10301173928016388,-0.5779299516563456,-0.7655548226319393,0.08315881608331917,-0.5460267117893565,-0.9985075731276959,0.06594786784374082,-0.7703014477530822,-0.6305954078805641,0.09478982619169043,-0.6894822440237558,-1.1466478080835762,0.06553071689859194,-0.5892749548355799,-1.4404053955208762,0.026206724117109937,-0.4907354726324156,-1.6323641515051603,-0.0005861297675919054,-0.6730969396367468,-0.7712038756658021,0.011268106158495834,-0.6182500847597325,-1.3112145531409465,0.01979153434372608,-0.5228700108746125,-1.590805570408535,0.006263964886024568,-0.4301271027162703,-1.7856484987506016,-0.012854770762082836,-0.5199077525496095,-0.8824670450642026,-0.07092878648163344,-0.4450048698585691,-1.3961550112860066,-0.052632574199818705,-0.360702075836498,-1.6476676351451347,-0.0541184094362375,-0.2967462538445116,-1.8229565168910224,-0.06806114051797053,-0.3215161243328009,-0.9683643408775681,-0.15163093240259154,-0.25212661177048173,-1.3651391740435843,-0.11957342721916529,-0.18540067301714924,-1.5597478444839885,-0.08999323776274631,-0.13994052543006136,-1.7116596544222176,-0.07204146882905098
